agreeableness,extraversion,neuroticism,education,age
5.4,3.6,2.0,5,68
3.8,3.6,3.2,5,51
5.4,4.6,2.4,3,41
4.4,4.2,1.4,5,48
3.6,3.0,4.6,1,43
4.8,2.4,3.8,2,50
5.2,2.4,2.4,2,48
5.0,5.0,2.4,4,43
3.0,3.2,2.8,3,54
5.0,3.4,2.4,4,50
5.2,4.4,2.0,3,50
5.0,4.4,1.6,4,56
5.2,5.0,3.6,5,48
5.0,3.2,1.2,5,42
3.8,2.8,1.4,4,50
4.2,3.2,4.6,5,47
5.6,3.6,3.8,3,49
3.8,2.4,2.0,5,41
4.2,3.2,4.0,5,43
5.0,3.8,2.2,2,50
4.0,2.4,2.4,1,53
4.8,4.2,1.4,5,41
4.4,2.6,4.8,3,45
4.8,5.2,4.4,2,47
5.25,2.6,1.0,5,50
2.8,3.4,2.0,5,48
5.4,4.0,1.6,5,59
5.4,5.0,1.2,5,48
5.4,4.8,3.0,4,50
3.6,3.0,2.8,4,55
4.4,4.4,1.8,5,41
3.2,4.0,3.2,5,44
4.6,4.6,2.0,3,46
5.4,3.0,3.2,2,48
5.0,4.2,1.8,3,55
4.2,5.4,4.6,3,50
5.2,4.2,3.8,4,47
4.8,3.0,1.4,4,52
5.4,3.4,4.0,2,56
4.8,4.2,3.0,NA,56
5.0,5.6,5.8,4,45
3.8,3.0,3.0,5,44
2.8,3.2,5.4,4,45
3.6,3.0,5.6,2,48
5.8,4.8,2.0,1,51
4.8,2.4,4.2,2,50
5.0,4.6,4.25,4,52
4.6,5.2,2.6,5,53
4.6,5.2,4.6,5,64
4.0,3.6,3.0,2,49
5.0,5.6,3.8,2,45
4.4,3.0,3.6,5,42
5.6,5.0,1.0,3,42
4.8,4.4,3.6,2,53
4.8,2.8,2.4,3,51
5.2,3.8,1.25,1,59
3.4,1.4,2.6,3,48
5.6,2.0,3.8,3,52
5.6,5.4,1.4,2,51
5.0,2.2,2.2,4,48
4.8,2.6,5.0,5,59
4.2,3.6,3.0,4,41
4.6,4.8,4.6,5,60
5.4,1.4,4.2,3,52
5.6,3.2,2.6,3,52
5.8,5.6,4.2,3,55
4.8,5.2,1.4,3,51
4.6,3.6,4.2,2,42
5.2,2.8,2.4,3,46
4.4,5.2,3.0,4,50
4.6,2.8,3.0,3,46
5.4,4.0,4.4,3,53
4.2,4.8,4.0,2,51
4.8,4.4,3.6,2,42
3.8,5.0,1.0,3,45
4.2,4.4,1.6,3,43
5.2,3.8,4.4,3,51
4.6,4.2,3.0,4,45
5.4,5.4,1.2,2,60
5.2,3.8,6.0,2,51
3.75,2.0,3.0,2,55
5.2,4.0,3.0,3,43
4.6,4.0,2.4,3,60
3.0,2.4,5.2,4,42
5.8,5.2,1.8,3,44
5.6,4.6,2.6,3,47
4.6,3.8,1.6,3,44
4.0,3.4,3.8,3,41
5.2,3.4,2.2,3,44
5.2,5.2,1.0,3,46
5.2,4.8,1.6,3,42
4.8,4.4,3.4,NA,45
5.8,3.4,2.0,3,43
5.8,3.8,4.0,3,55
5.8,3.8,4.0,3,55
5.8,5.6,1.2,3,54
4.6,2.6,3.8,1,53
5.2,3.6,1.8,3,52
5.4,3.6,4.0,3,46
3.8,2.6,5.4,2,41
4.0,4.5,1.0,3,52
4.8,4.2,2.4,2,50
3.6,3.4,3.8,3,43
3.0,2.0,4.2,5,50
4.8,3.0,2.2,3,48
4.6,2.6,2.0,3,43
5.8,3.2,2.0,3,41
4.6,4.4,2.0,3,50
4.4,1.8,3.2,2,51
4.2,4.0,2.8,4,44
5.8,4.6,5.6,3,52
5.6,5.4,1.0,3,43
3.8,2.6,5.2,2,41
5.8,4.2,1.6,3,41
5.2,2.2,5.2,4,45
4.6,4.8,2.4,3,43
5.0,5.2,1.5,3,41
4.6,2.8,4.2,2,42
5.75,4.8,1.8,3,52
4.4,3.2,3.4,3,41
5.5,3.8,4.6,3,42
4.8,5.4,2.2,3,45
4.8,5.0,3.0,3,44
5.4,5.0,2.0,5,53
2.4,3.2,2.0,5,74
2.2,5.4,2.0,4,48
4.2,4.6,2.2,4,44
4.2,3.4,4.2,3,63
5.2,5.0,2.0,2,48
4.0,3.5,2.2,2,46
4.8,4.0,1.2,2,42
4.2,4.2,2.4,NA,57
4.0,2.6,5.2,2,48
5.2,4.0,2.8,4,41
4.8,3.8,2.2,2,48
5.2,4.0,2.2,5,50
5.2,4.4,4.0,5,54
4.2,2.8,2.8,3,51
4.4,5.0,3.6,4,53
4.4,5.2,1.8,2,42
5.0,4.5,2.6,5,56
4.4,5.0,2.8,1,43
5.6,4.2,1.4,5,43
4.2,3.2,4.2,5,51
4.6,3.8,2.0,5,56
5.6,4.2,4.0,5,41
1.8,2.2,2.6,5,52
5.8,4.0,4.6,2,45
5.2,3.6,5.8,4,41
4.6,4.2,3.0,5,47
4.6,4.0,4.0,3,50
3.4,4.6,3.4,5,55
3.8,2.4,3.6,2,49
5.8,4.6,1.8,4,56
3.8,4.6,4.0,3,46
4.8,4.2,4.4,3,46
5.8,5.2,1.8,4,55
3.8,2.8,5.2,4,53
3.2,2.6,4.2,4,48
4.4,2.8,5.0,3,41
5.0,4.6,1.2,3,41
4.6,4.0,3.0,3,60
5.4,4.4,2.0,3,53
4.4,2.8,2.8,4,55
4.6,3.4,1.6,5,41
4.4,3.4,2.8,5,52
4.0,3.2,1.0,5,56
3.4,3.0,2.4,5,55
4.8,5.2,1.0,4,43
5.8,5.6,2.4,2,48
5.4,2.8,2.2,5,52
3.8,2.4,1.4,4,46
5.4,4.4,1.8,3,43
5.5,5.2,4.2,2,62
5.5,5.4,1.2,2,50
4.4,3.4,4.4,NA,46
4.8,2.6,2.4,5,50
5.8,4.0,2.4,3,46
5.2,3.8,3.6,4,43
4.0,2.6,1.6,2,86
4.6,4.4,3.4,4,50
5.2,4.6,2.6,4,59
4.0,5.2,2.8,2,44
5.6,3.8,1.0,5,59
4.4,4.6,3.0,2,54
5.4,4.6,1.0,2,43
4.6,3.6,3.6,2,53
4.8,4.4,3.0,5,45
5.2,4.4,2.8,5,52
5.2,3.8,4.8,5,46
3.6,4.0,3.6,5,58
5.4,4.8,5.4,5,41
5.2,3.6,2.4,1,58
4.8,3.8,2.4,2,45
4.8,4.0,1.4,2,43
5.2,4.6,2.4,5,45
3.4,2.8,4.0,2,61
5.2,4.0,1.6,3,49
5.6,3.4,1.2,5,43
5.8,4.6,1.8,4,45
5.0,4.8,3.2,5,60
4.8,3.2,2.8,5,43
4.8,3.6,2.2,5,60
5.2,3.4,2.4,3,49
3.6,4.6,4.8,2,43
4.6,3.6,2.2,4,57
5.0,3.8,1.6,4,50
